channel,artifact,strength,why,vantage
query: High-volume LDAP traffic with filters targeting groupPolicyContainer attributes,PCAP / PCAPNG,strong,LDAP filters in the PDUs. No ldap.log on the SO list.,network
query: High-volume LDAP traffic with filters targeting groupPolicyContainer attributes,"conn.log (TCP/UDP/ICMP connections, NetFlow-like view of traffic)",moderate,High-volume sessions to 389/636.,network
query: High-volume LDAP traffic with filters targeting groupPolicyContainer attributes,dce_rpc.log (Windows RPC on the wire),moderate,Follow-on AD RPC.,network
query: High-volume LDAP traffic with filters targeting groupPolicyContainer attributes,"ssl.log (TLS handshake: SNI, version, cipher)",moderate,LDAPS.,network
rpc_call: srvsvc.NetShareEnum / NetShareEnumAll from non-admin or unusual processes,Security Event Log,strong,Share enumeration / 5140 noise plus 4688 for the unusual process.,host
rpc_call: srvsvc.NetShareEnum / NetShareEnumAll from non-admin or unusual processes,Sysmon Event Log,strong,Event 1 of the unusual process and Event 3 to 445.,host
rpc_call: srvsvc.NetShareEnum / NetShareEnumAll from non-admin or unusual processes,PCAP / PCAPNG,strong,The RPC call.,network
rpc_call: srvsvc.NetShareEnum / NetShareEnumAll from non-admin or unusual processes,"conn.log (TCP/UDP/ICMP connections, NetFlow-like view of traffic)",moderate,Session to 445.,network
rpc_call: srvsvc.NetShareEnum / NetShareEnumAll from non-admin or unusual processes,dce_rpc.log (Windows RPC on the wire),strong,srvsvc is DCE/RPC.,network
rpc_call: srvsvc.NetShareEnum / NetShareEnumAll from non-admin or unusual processes,smb_cmd.log (SMB commands),strong,NetShareEnum is an SMB/RPC command.,network
rpc_call: srvsvc.NetShareEnum / NetShareEnumAll from non-admin or unusual processes,smb_mapping.log (share / tree connects),moderate,Shares returned/connected.,network
smtp.log,Extracted files (carved from Zeek or Suricata),moderate,Carved attachments.,network
smtp.log,PCAP / PCAPNG,moderate,SMTP session.,network
smtp.log,"files.log (files observed on the wire: hashes, MIME, size)",moderate,Mail attachments on the wire.,network
smtp.log,smtp.log,strong,This channel is Zeek smtp.log.,network
ssl.log - Certificate Analysis,PCAP / PCAPNG,strong,Certificate bytes.,network
ssl.log - Certificate Analysis,known_certs.log,moderate,Whether Zeek has seen that cert.,network
ssl.log - Certificate Analysis,"ssl.log (TLS handshake: SNI, version, cipher)",strong,Handshake and cert references.,network
ssl.log - Certificate Analysis,x509.log (certificate details),strong,Certificate fields.,network
token_analysis: API calls such as DuplicateTokenEx or ImpersonateLoggedOnUser,Event Trace Logs,strong,Named token APIs.,host
token_analysis: API calls such as DuplicateTokenEx or ImpersonateLoggedOnUser,Security Event Log,moderate,Logon/privilege events from the impersonation.,host
token_analysis: API calls such as DuplicateTokenEx or ImpersonateLoggedOnUser,Sysmon Event Log,moderate,Follow-on process under the stolen token.,host
uncommon ports,Security Event Log,moderate,5156/5157 include ports if WFP audit is on.,host
uncommon ports,Sysmon Event Log,strong,Event 3 dest port.,host
uncommon ports,Windows Firewall Log,strong,Dest/src port is logged.,host
uncommon ports,PCAP / PCAPNG,moderate,Those flows.,network
uncommon ports,Suricata alerts (signature hits on the wire),moderate,Alerts on uncommon ports.,network
uncommon ports,"conn.log (TCP/UDP/ICMP connections, NetFlow-like view of traffic)",strong,Dest/src ports on every session.,network
uncommon ports,known_services.log,moderate,Unexpected services Zeek saw.,network
uncommon ports,notice.log (Zeek noteworthy events),moderate,Zeek notices on odd services/ports.,network
